student_track_id,student_id,track_name,date_enrolled,track_completed,days_for_completion,completion_bucket
6860,275770,"Data Scientist",2022-06-01,0,NULL,NULL
6861,275775,"Data Analyst",2022-06-01,0,NULL,NULL
6862,275777,"Data Analyst",2022-06-01,0,NULL,NULL
6863,275782,"Data Analyst",2022-06-01,0,NULL,NULL
6864,275787,"Data Analyst",2022-06-01,0,NULL,NULL
6865,275788,"Data Analyst",2022-06-01,0,NULL,NULL
6866,275797,"Data Scientist",2022-06-02,0,NULL,NULL
6867,275799,"Data Scientist",2022-06-01,0,NULL,NULL
6868,275800,"Data Analyst",2022-06-24,0,NULL,NULL
6869,275800,"Business Analyst",2022-09-29,0,NULL,NULL
6870,275818,"Data Scientist",2022-06-02,0,NULL,NULL
6871,275820,"Data Scientist",2022-06-02,0,NULL,NULL
6872,275829,"Data Analyst",2022-06-02,0,NULL,NULL
6873,275836,"Data Analyst",2022-06-02,0,NULL,NULL
6874,275839,"Data Analyst",2022-06-03,0,NULL,NULL
6875,275846,"Data Analyst",2022-06-02,0,NULL,NULL
6876,275848,"Data Analyst",2022-06-02,0,NULL,NULL
6877,275855,"Data Analyst",2022-06-02,0,NULL,NULL
6878,275859,"Data Analyst",2022-06-02,0,NULL,NULL
6879,275860,"Business Analyst",2022-06-02,0,NULL,NULL
6880,275864,"Data Analyst",2022-06-02,0,NULL,NULL
6881,275867,"Data Analyst",2022-06-02,0,NULL,NULL
6882,275869,"Data Analyst",2022-06-02,0,NULL,NULL
6883,275870,"Data Scientist",2022-06-02,0,NULL,NULL
6884,275870,"Data Analyst",2022-06-02,0,NULL,NULL
6885,275870,"Business Analyst",2022-06-02,0,NULL,NULL
6886,275871,"Data Analyst",2022-06-02,0,NULL,NULL
6887,275885,"Data Analyst",2022-06-02,0,NULL,NULL
6888,275887,"Data Analyst",2022-06-02,0,NULL,NULL
6889,275899,"Data Analyst",2022-06-02,0,NULL,NULL
6890,275900,"Data Analyst",2022-06-02,0,NULL,NULL
